Date,Open,Close,High,Low,Volume
1993-01-29,43.97,43.94,43.97,43.75,1003200
1993-02-01,43.97,44.25,44.25,43.97,480500
1993-02-02,44.22,44.34,44.38,44.13,201300
1993-02-03,44.41,44.81,44.84,44.38,529400
1993-02-04,44.97,45.00,45.09,44.47,531500
1993-02-05,44.97,44.97,45.06,44.72,492100
1993-02-08,44.97,44.97,45.13,44.91,596100
1993-02-09,44.81,44.66,44.81,44.56,122100
1993-02-10,44.66,44.72,44.75,44.53,379600
1993-02-11,44.78,44.94,45.13,44.78,19500
1993-02-12,44.88,44.59,44.88,44.59,42500
1993-02-16,44.47,43.47,44.47,43.41,374800
1993-02-17,43.47,43.44,43.53,43.28,210900
1993-02-18,43.94,43.41,43.94,42.81,378100
1993-02-19,43.41,43.56,43.56,43.34,34900
1993-02-22,43.69,43.72,43.78,43.56,513600
1993-02-23,43.84,43.69,43.88,43.47,373700
1993-02-24,43.72,44.25,44.25,43.72,26300
1993-02-25,44.22,44.34,44.38,44.13,44500
1993-02-26,44.44,44.41,44.44,44.19,66200
1993-03-01,44.56,44.28,44.56,44.22,66500
1993-03-02,44.31,44.94,44.94,44.25,182400
1993-03-03,45.00,45.13,45.16,44.94,280100
1993-03-04,45.19,44.88,45.19,44.88,89500
1993-03-05,44.94,44.75,45.13,44.72,40000
1993-03-08,44.84,45.75,45.75,44.84,50800
1993-03-09,45.66,45.59,45.69,45.50,169300
1993-03-10,45.59,45.69,45.69,45.41,194400
1993-03-11,45.72,45.56,45.84,45.50,70900
1993-03-12,45.19,45.09,45.22,44.81,643600
1993-03-15,45.06,45.31,45.31,45.06,310800
1993-03-16,45.31,45.31,45.44,45.31,30800
1993-03-17,45.25,45.03,45.25,44.97,21800
1993-03-18,45.22,45.31,45.50,45.22,59300
1993-03-19,45.28,45.03,45.28,45.03,66900
1993-03-22,44.59,44.78,44.88,44.56,183400
1993-03-23,44.91,44.88,44.94,44.81,55200
1993-03-24,44.81,44.88,45.06,44.59,37200
1993-03-25,44.91,45.16,45.25,44.84,110100
1993-03-26,45.13,44.91,45.16,44.88,101500
1993-03-29,44.94,45.09,45.31,44.94,87100
1993-03-30,45.16,45.22,45.22,45.09,56000
1993-03-31,45.34,45.19,45.47,45.19,111600
1993-04-01,45.25,45.03,45.25,44.94,129500
1993-04-02,44.66,44.09,44.66,44.09,59400
1993-04-05,44.44,44.31,44.44,44.19,172200
1993-04-06,44.41,44.19,44.41,44.06,129700
1993-04-07,44.25,44.34,44.34,44.16,28000
1993-04-08,44.53,44.28,44.53,44.09,180800
1993-04-12,44.72,44.91,44.94,44.66,348500
1993-04-13,44.88,45.00,45.16,44.84,146100
1993-04-14,45.03,44.94,45.06,44.91,119600
1993-04-15,44.91,44.94,45.03,44.75,148600
1993-04-16,44.97,44.94,45.03,44.88,47900
1993-04-19,44.94,44.75,45.06,44.72,157000
1993-04-20,44.69,44.53,44.75,44.25,279500
1993-04-21,44.63,44.50,44.63,44.38,67900
1993-04-22,44.31,43.94,44.69,43.94,97700
1993-04-23,43.84,43.75,43.97,43.69,106000
1993-04-26,43.78,43.41,43.94,43.28,62600
1993-04-27,43.34,43.88,43.88,43.34,156800
1993-04-28,43.81,43.78,43.91,43.72,85900
1993-04-29,43.88,43.97,43.97,43.63,85000
1993-04-30,44.13,44.03,44.28,44.03,88500
1993-05-03,44.09,44.31,44.31,43.91,80500
1993-05-04,44.41,44.47,44.63,44.34,149100
1993-05-05,44.47,44.59,44.75,44.47,109000
1993-05-06,44.53,44.44,44.56,44.41,54700
1993-05-07,44.47,44.34,44.47,44.28,68000
1993-05-10,44.41,44.44,44.69,44.41,113900
1993-05-11,44.44,44.63,44.63,44.31,42600
1993-05-12,44.44,44.56,44.59,44.44,31000
1993-05-13,44.38,44.03,44.38,44.00,129100
1993-05-14,44.03,44.00,44.16,43.97,63500
1993-05-17,44.13,44.16,44.16,43.94,34000
1993-05-18,44.19,44.13,44.22,43.97,105200
1993-05-19,44.13,45.03,45.03,43.84,50200
1993-05-20,45.03,45.16,45.16,44.94,98200
1993-05-21,45.19,44.75,45.25,44.72,221400
1993-05-24,44.84,44.94,45.09,44.84,30500
1993-05-25,45.13,45.03,45.13,45.03,191800
1993-05-26,45.16,45.59,45.63,45.13,102400
1993-05-27,45.66,45.44,45.66,45.38,53800
1993-05-28,45.41,45.22,45.41,45.00,79100
1993-06-01,45.38,45.66,45.81,45.31,28300
1993-06-02,45.53,45.59,45.75,45.34,20300
1993-06-03,45.50,45.44,45.50,45.34,21600
1993-06-04,45.31,45.28,45.31,45.09,32000
1993-06-07,45.38,45.13,45.38,45.13,121400
1993-06-08,45.00,44.72,45.00,44.72,104500
1993-06-09,44.88,44.88,45.06,44.81,43300
1993-06-10,44.84,44.91,44.94,44.75,17900
1993-06-11,45.06,45.09,45.16,44.91,647400
1993-06-14,45.16,45.03,45.19,45.03,64200
1993-06-15,45.09,44.94,45.13,44.94,142400
1993-06-16,44.94,45.03,45.03,44.81,330900
1993-06-17,45.13,45.19,45.19,45.03,37400
1993-06-18,44.84,44.50,44.84,44.50,58500
1993-06-21,44.63,44.59,44.63,44.53,29300
1993-06-22,44.66,44.63,44.66,44.56,137500
1993-06-23,44.63,44.22,44.63,44.22,227600
1993-06-24,44.34,44.81,44.81,44.34,243700
1993-06-25,44.78,44.78,44.91,44.75,44800
1993-06-28,45.00,45.28,45.28,44.94,439900
1993-06-29,45.22,45.06,45.22,45.00,207500
1993-06-30,45.13,45.06,45.22,45.00,437600
1993-07-01,45.13,44.94,45.13,44.88,605700
1993-07-02,44.78,44.69,44.81,44.53,285400
1993-07-06,44.63,44.22,44.75,44.16,246400
1993-07-07,44.19,44.34,44.41,44.19,343700
1993-07-08,44.38,44.84,44.94,44.31,248200
1993-07-09,44.84,44.97,44.97,44.75,378200
1993-07-12,44.91,44.94,44.97,44.84,373700
1993-07-13,44.97,44.91,45.09,44.66,389600
1993-07-14,44.94,45.06,45.19,44.91,617300
1993-07-15,45.03,44.88,45.03,44.78,443800
1993-07-16,44.91,44.75,44.94,44.69,216400
1993-07-19,44.75,44.72,44.75,44.59,188200
1993-07-20,44.69,44.84,44.84,44.47,68500
1993-07-21,44.78,44.81,44.81,44.66,142700
1993-07-22,44.75,44.50,44.81,44.50,632400
1993-07-23,44.59,44.72,44.72,44.56,286200
1993-07-26,44.84,44.97,45.06,44.84,121300
1993-07-27,45.00,44.94,45.03,44.78,92800
1993-07-28,44.84,44.84,44.94,44.78,30800
1993-07-29,44.94,45.09,45.22,44.88,331000
1993-07-30,45.09,44.84,45.09,44.78,75300
1993-08-02,44.91,44.97,45.13,44.91,41300
1993-08-03,45.06,45.00,45.19,44.84,81600
1993-08-04,45.00,45.00,45.09,44.88,434000
1993-08-05,45.00,44.91,45.00,44.84,36800
1993-08-06,45.03,44.97,45.06,44.91,402300
1993-08-09,45.09,45.22,45.34,45.00,828200
1993-08-10,45.19,45.19,45.22,45.13,604900
1993-08-11,45.16,45.19,45.31,45.16,542200
1993-08-12,45.31,45.06,45.31,44.91,303700
1993-08-13,45.09,45.13,45.16,45.09,103500
1993-08-16,45.16,45.38,45.50,45.16,241800
1993-08-17,45.34,45.53,45.53,45.34,369300
1993-08-18,45.69,45.78,45.88,45.66,414300
1993-08-19,45.81,45.78,45.81,45.72,28500
1993-08-20,45.69,45.81,45.81,45.66,80700
1993-08-23,45.63,45.72,45.75,45.63,15600
1993-08-24,45.72,46.22,46.22,45.72,273400
1993-08-25,46.22,46.25,46.44,46.16,242300
1993-08-26,46.28,46.28,46.53,46.09,120000
1993-08-27,46.16,46.25,46.25,46.16,25700
1993-08-30,46.28,46.44,46.50,46.28,183500
1993-08-31,46.41,46.56,46.56,46.34,66500
1993-09-01,46.41,46.50,46.59,46.41,136500
1993-09-02,46.53,46.34,46.59,46.31,472400
1993-09-03,46.31,46.38,46.44,46.25,630500
1993-09-07,46.38,46.06,46.44,46.00,196400
1993-09-08,46.06,45.91,46.06,45.59,269900
1993-09-09,45.72,46.00,46.03,45.72,239200
1993-09-10,46.13,46.41,46.44,46.06,106500
1993-09-13,46.56,46.44,46.56,46.44,66900
1993-09-14,46.31,46.25,46.31,46.09,184500
1993-09-15,46.06,46.38,46.41,45.91,101000
1993-09-16,46.31,46.19,46.34,46.16,54300
1993-09-17,45.88,45.81,45.91,45.75,200900
1993-09-20,45.88,45.44,45.97,45.44,57800
1993-09-21,45.50,45.28,45.56,44.81,318200
1993-09-22,45.44,45.66,45.72,45.38,439700
1993-09-23,45.78,45.91,45.94,45.72,88500
1993-09-24,45.84,45.78,45.88,45.72,53500
1993-09-27,46.13,46.28,46.28,46.13,274600
1993-09-28,46.31,46.19,46.31,46.16,158300
1993-09-29,46.19,46.03,46.31,45.97,221000
1993-09-30,46.03,45.94,46.13,45.84,99300
1993-10-01,45.88,46.16,46.22,45.81,22700
1993-10-04,46.22,46.22,46.22,46.09,1038500
1993-10-05,46.31,46.16,46.31,46.00,436500
1993-10-06,46.19,46.13,46.38,46.13,209200
1993-10-07,46.19,46.00,46.19,45.97,59400
1993-10-08,46.13,46.06,46.16,45.72,54400
1993-10-11,46.16,46.16,46.25,46.16,467100
1993-10-12,46.22,46.22,46.25,46.19,26200
1993-10-13,46.25,46.22,46.25,46.16,139100
1993-10-14,46.41,46.81,46.81,46.28,108100
1993-10-15,47.03,47.06,47.16,46.91,1502500
1993-10-18,47.03,46.94,47.03,46.88,722400
1993-10-19,46.88,46.59,46.97,46.59,880100
1993-10-20,46.75,46.66,46.75,46.56,230400
1993-10-21,46.69,46.59,46.69,46.53,56200
1993-10-22,46.66,46.38,46.84,46.38,390700
1993-10-25,46.41,46.50,46.56,46.28,114500
1993-10-26,46.47,46.47,46.50,46.31,186200
1993-10-27,46.41,46.50,46.53,46.41,118400
1993-10-28,46.56,46.84,46.97,46.56,129600
1993-10-29,46.81,46.84,46.88,46.78,80700
1993-11-01,46.78,46.97,47.00,46.78,36400
1993-11-02,46.91,46.94,47.00,46.66,262100
1993-11-03,46.91,46.34,46.91,46.13,479100
1993-11-04,46.34,45.84,46.34,45.81,130400
1993-11-05,45.72,46.06,46.06,45.53,363200
1993-11-08,46.09,46.13,46.25,45.97,367600
1993-11-09,46.44,46.16,46.47,46.13,246900
1993-11-10,46.16,46.50,46.50,46.03,46500
1993-11-11,46.50,46.38,46.63,46.34,88900
1993-11-12,46.47,46.59,46.75,46.44,108200
1993-11-15,46.69,46.56,46.69,46.44,243300
1993-11-16,46.66,46.78,46.81,46.47,492600
1993-11-17,46.81,46.53,46.81,46.41,39600
1993-11-18,46.47,46.41,46.56,46.28,240800
1993-11-19,46.25,46.31,46.38,46.22,106000
1993-11-22,46.19,46.03,46.22,45.88,165300
1993-11-23,46.28,46.28,46.31,46.03,89700
1993-11-24,46.41,46.47,46.50,46.34,77200
1993-11-26,46.59,46.50,46.59,46.47,1019800
1993-11-29,46.63,46.31,46.72,46.31,517500
1993-11-30,46.28,46.34,46.56,46.25,230000
1993-12-01,46.59,46.41,46.63,46.41,379200
1993-12-02,46.50,46.53,46.56,46.41,352000
1993-12-03,46.50,46.72,46.72,46.50,306000
1993-12-06,46.78,46.88,46.94,46.78,99500
1993-12-07,46.88,46.84,46.91,46.78,88800
1993-12-08,46.84,46.84,46.84,46.78,146700
1993-12-09,46.84,46.69,46.91,46.63,416500
1993-12-10,46.72,46.59,46.72,46.50,412900
1993-12-13,46.59,46.88,46.88,46.53,273200
1993-12-14,46.91,46.53,46.91,46.53,41900
1993-12-15,46.59,46.47,46.63,46.47,82600
1993-12-16,46.66,46.63,46.66,46.56,78200
1993-12-17,46.41,46.56,46.59,46.38,104700
1993-12-20,46.53,46.63,46.66,46.50,68800
1993-12-21,46.56,46.47,46.56,46.41,205700
1993-12-22,46.59,46.78,46.81,46.50,410300
1993-12-23,46.75,46.75,46.84,46.69,533800
1993-12-27,46.75,47.00,47.00,46.75,447100
1993-12-28,46.97,47.09,47.13,46.94,880600
1993-12-29,47.13,47.03,47.16,47.00,266700
1993-12-30,47.00,46.84,47.00,46.75,219900
