Date,Open,Close,High,Low,Volume
1999-01-14,22.00,22.08,22.08,21.89,15300
1999-01-15,22.00,22.08,22.08,21.89,15300
1999-01-19,22.00,21.72,22.00,21.53,25400
1999-01-20,21.67,21.59,21.83,21.58,40600
1999-01-21,21.59,21.50,21.63,21.39,57800
1999-01-22,21.28,21.50,21.50,21.05,6800
1999-01-25,21.30,21.47,21.50,21.22,28400
1999-01-26,21.42,21.44,21.44,21.19,1700
1999-01-27,21.83,21.27,21.83,21.27,14900
1999-01-28,21.39,21.00,21.39,21.00,5800
1999-01-29,20.95,21.11,21.11,20.95,400
1999-02-01,21.28,21.28,21.50,21.28,2900
1999-02-02,21.20,21.30,21.38,21.19,1900
1999-02-03,21.31,21.31,21.39,21.25,1100
1999-02-04,21.36,21.94,22.02,21.36,5400
1999-02-05,22.05,22.23,22.44,22.05,39700
1999-02-08,22.30,22.13,22.36,22.03,20200
1999-02-09,22.13,21.70,22.13,21.70,13700
1999-02-10,21.86,21.75,21.86,21.66,4900
1999-02-11,21.78,21.53,21.83,21.53,9900
1999-02-12,21.56,21.42,21.61,21.42,2300
1999-02-16,21.56,21.38,21.61,21.38,4800
1999-02-17,21.13,21.00,21.42,21.00,5100
1999-02-18,21.05,21.16,21.19,20.92,30900
1999-02-19,21.23,21.33,21.36,21.19,8000
1999-02-22,21.25,21.69,21.70,21.25,7600
1999-02-23,21.73,21.50,21.73,21.38,5300
1999-02-24,21.81,21.44,21.81,21.44,2600
1999-02-25,21.31,21.44,21.44,21.25,5900
1999-03-01,21.28,21.19,21.28,21.19,900
1999-03-02,21.23,21.00,21.44,21.00,45600
1999-03-03,21.27,20.86,21.27,20.86,3900
1999-03-04,20.84,20.92,21.13,20.84,2900
1999-03-05,21.17,21.44,21.50,21.17,3500
1999-03-08,21.44,21.77,21.77,21.44,6100
1999-03-09,21.66,21.58,21.66,21.50,5600
1999-03-10,21.59,21.88,21.88,21.55,2600
1999-03-11,21.98,22.11,22.22,21.97,8100
1999-03-12,22.30,22.02,22.36,22.02,7300
1999-03-15,22.06,22.06,22.16,21.91,6200
1999-03-16,22.03,22.09,22.09,21.95,7400
1999-03-17,22.08,21.91,22.08,21.88,3500
1999-03-18,22.14,22.38,22.38,22.02,7900
1999-03-19,22.63,22.33,22.63,22.33,4500
1999-03-22,22.23,22.39,22.47,22.23,21300
1999-03-23,22.25,21.83,22.25,21.81,12200
1999-03-24,21.73,21.84,22.00,21.69,75100
1999-03-25,21.84,21.92,22.13,21.84,3700
