Date,Open,Close,High,Low,Volume
1999-01-14,22.56,22.72,22.75,22.45,10700
1999-01-15,22.56,22.72,22.75,22.45,10700
1999-01-19,22.81,22.72,22.81,22.53,12800
1999-01-20,22.59,22.53,22.81,22.52,14100
1999-01-21,22.50,22.72,22.91,22.50,22900
1999-01-22,22.75,22.72,22.81,22.56,18300
1999-01-25,22.69,22.56,22.69,22.38,17900
1999-01-26,22.59,22.34,22.59,22.16,25600
1999-01-27,22.38,21.94,22.38,21.88,26800
1999-01-28,22.00,21.81,22.00,21.63,28300
1999-01-29,21.69,21.81,21.81,21.44,17600
1999-02-01,21.81,21.59,21.88,21.59,22700
1999-02-02,21.81,21.63,21.81,21.53,26500
1999-02-03,21.75,22.13,22.25,21.75,28900
1999-02-04,22.13,22.25,22.31,22.06,25500
1999-02-05,22.31,22.88,22.94,22.19,61900
1999-02-08,22.97,23.19,23.19,22.94,31000
1999-02-09,22.97,22.75,23.19,22.75,63800
1999-02-10,22.84,22.81,23.06,22.69,60500
1999-02-11,22.63,22.63,22.69,22.28,211700
1999-02-12,22.38,22.16,22.63,22.16,235500
1999-02-16,22.33,22.00,22.44,21.78,28200
1999-02-17,21.88,21.78,22.09,21.75,39200
1999-02-18,21.75,21.84,21.97,21.53,79100
1999-02-19,21.94,21.72,21.94,21.53,127000
1999-02-22,21.88,21.94,22.00,21.69,76700
1999-02-23,22.00,21.75,22.09,21.75,191100
1999-02-24,21.81,21.66,22.09,21.66,31500
1999-02-25,21.64,21.77,21.91,21.63,29900
1999-02-26,21.84,21.63,22.00,21.63,19300
1999-03-01,21.67,21.41,21.67,21.34,11700
1999-03-02,21.44,21.19,21.53,21.09,52500
1999-03-03,21.38,21.66,21.66,21.25,98500
1999-03-04,21.84,22.44,22.53,21.84,83700
1999-03-05,23.00,22.86,23.00,22.63,82600
1999-03-08,22.98,23.19,23.25,22.89,98200
1999-03-09,22.94,22.94,23.31,22.84,75500
1999-03-10,23.03,24.25,24.25,23.03,1697500
1999-03-11,25.00,24.59,25.25,24.25,852300
1999-03-12,24.88,24.50,25.03,24.25,585200
1999-03-15,24.56,24.31,24.56,24.02,411600
1999-03-16,24.09,24.19,24.31,24.00,243100
1999-03-17,24.31,24.81,24.84,24.25,282400
1999-03-18,25.25,25.13,25.31,24.94,300600
1999-03-19,25.25,24.78,25.28,24.69,246200
1999-03-22,25.00,24.94,25.13,24.73,146700
1999-03-23,24.75,24.38,24.75,24.25,122500
1999-03-24,24.63,24.38,24.72,24.16,52800
1999-03-25,24.31,24.44,24.56,24.09,152400
1999-03-26,24.69,24.75,24.88,24.47,41800
1999-03-29,25.38,25.44,25.69,25.38,76600
1999-03-30,25.28,24.97,25.31,24.91,55000
1999-03-31,25.19,24.97,25.19,24.69,57900
1999-04-01,24.63,24.56,24.66,24.30,20900
1999-04-05,25.22,25.16,25.22,24.97,55800
1999-04-06,24.88,24.91,25.00,24.72,38600
1999-04-07,24.88,24.91,24.91,24.47,828300
1999-04-08,24.77,25.09,25.19,24.75,847300
1999-04-09,24.92,25.09,25.50,24.89,44300
1999-04-12,25.25,25.56,25.75,25.25,46000
1999-04-13,25.41,25.53,25.73,25.41,48900
1999-04-14,25.41,25.22,25.66,25.22,20300
1999-04-15,25.38,26.31,26.44,25.38,242300
1999-04-16,26.59,27.14,27.14,26.53,74000
1999-04-19,27.88,27.47,28.34,27.44,193600
1999-04-20,27.56,27.03,27.56,26.77,378500
1999-04-21,26.88,26.63,27.06,26.38,157700
1999-04-22,26.56,27.09,27.09,26.44,384900
