Date,Open,Close,High,Low,Volume
1999-01-14,18.91,19.19,19.19,18.82,64900
1999-01-15,18.91,19.19,19.19,18.82,64900
1999-01-19,19.50,19.09,19.50,18.84,38900
1999-01-20,19.29,19.32,19.53,19.12,58500
1999-01-21,19.06,18.89,19.15,18.84,354300
1999-01-22,18.79,18.89,18.89,18.66,82600
1999-01-25,18.86,18.91,18.94,18.68,136000
1999-01-26,18.99,18.93,19.03,18.79,87100
1999-01-27,19.04,18.68,19.04,18.68,32800
1999-01-28,18.63,18.96,19.01,18.63,28500
1999-01-29,19.08,19.37,19.38,18.81,52900
1999-02-01,19.45,19.04,19.45,19.04,36300
1999-02-02,18.89,18.84,18.99,18.65,83900
1999-02-03,18.73,18.98,19.06,18.60,46500
1999-02-04,18.84,18.68,18.94,18.56,29900
1999-02-05,18.48,18.38,18.58,18.25,66100
1999-02-08,18.51,18.33,18.53,18.20,104400
1999-02-09,18.33,18.07,18.38,17.95,213000
1999-02-10,18.13,18.23,18.23,17.92,23200
1999-02-11,18.68,18.96,18.99,18.65,47700
1999-02-12,18.86,18.68,18.96,18.48,76900
1999-02-16,18.86,18.96,19.09,18.48,372300
1999-02-17,19.04,19.04,19.42,18.86,394000
1999-02-18,19.14,19.23,19.34,19.04,47600
1999-02-19,19.37,19.29,19.65,19.28,43500
1999-02-22,19.45,19.94,19.99,19.45,52100
1999-02-23,19.99,20.11,20.18,19.83,81600
1999-02-24,20.18,19.42,20.21,19.39,181300
1999-02-25,19.17,19.32,19.42,18.91,127600
1999-02-26,19.32,19.47,19.62,19.23,69100
1999-03-01,19.60,19.75,19.89,19.52,150200
1999-03-02,19.90,19.80,20.08,19.67,59800
1999-03-03,19.90,19.61,19.93,19.51,36000
1999-03-04,19.67,20.05,20.11,19.67,31200
1999-03-05,20.82,20.56,20.82,20.31,345000
1999-03-08,20.56,20.42,20.61,20.32,75300
1999-03-09,20.46,20.59,20.78,20.36,65100
1999-03-10,20.78,20.97,20.97,20.64,57800
1999-03-11,21.02,21.15,21.30,20.88,137000
1999-03-12,21.15,21.07,21.27,20.94,130500
1999-03-15,21.12,21.17,21.27,21.02,49000
1999-03-16,21.37,20.87,21.37,20.87,120800
1999-03-17,20.77,20.69,20.77,20.49,91100
1999-03-18,20.54,21.17,21.17,20.54,135400
1999-03-19,21.17,20.77,21.17,20.73,167700
1999-03-22,20.66,20.66,20.84,20.61,336500
1999-03-23,20.49,20.05,20.49,20.00,202700
1999-03-24,20.11,20.00,20.21,19.90,101200
1999-03-25,20.71,20.46,20.71,20.26,55100
1999-03-26,20.32,20.38,20.46,20.23,44200
1999-03-29,20.59,20.74,20.80,20.54,44500
1999-03-30,20.59,20.50,20.64,20.40,107000
1999-03-31,20.61,20.50,20.61,20.18,72700
1999-04-01,20.21,20.28,20.33,20.16,34100
1999-04-05,20.61,20.71,20.79,20.59,55400
1999-04-06,20.84,20.56,20.84,20.51,103200
1999-04-07,20.75,20.56,21.22,20.56,211600
1999-04-08,21.32,21.50,21.55,21.27,122400
1999-04-09,21.43,21.50,21.58,21.22,93800
1999-04-12,21.32,21.83,21.86,21.30,122600
1999-04-13,22.03,21.81,22.09,21.76,139000
1999-04-14,21.93,21.53,22.11,21.53,86800
1999-04-15,21.65,21.32,21.65,21.20,74000
1999-04-16,21.43,21.22,21.43,21.04,49600
1999-04-19,21.63,21.22,21.96,21.22,81400
1999-04-20,21.63,21.50,21.96,21.32,53700
1999-04-21,21.53,21.83,21.83,21.50,52800
1999-04-22,21.91,22.03,22.11,21.83,43900
1999-04-23,22.19,21.98,22.19,21.83,117400
1999-04-26,22.01,21.65,22.01,21.59,133300
1999-04-27,21.84,22.03,22.11,21.65,51900
1999-04-28,22.06,21.91,22.16,21.81,136700
1999-04-29,21.91,21.98,22.21,21.88,62100
1999-04-30,21.98,21.65,22.06,21.30,320600
1999-05-03,21.63,21.93,21.93,21.50,195100
1999-05-04,21.78,21.35,21.88,21.25,274800
1999-05-05,21.29,21.37,21.43,20.97,172200
1999-05-06,21.15,21.02,21.35,20.92,153000
1999-05-07,21.30,21.43,21.55,21.26,628900
1999-05-10,21.58,21.35,21.65,21.30,39200
1999-05-11,21.60,21.60,21.88,21.53,39300
1999-05-12,21.55,21.91,21.93,21.43,24400
1999-05-13,21.93,22.11,22.16,21.93,25000
1999-05-14,21.63,21.43,21.63,21.17,134400
1999-05-17,21.12,21.15,21.25,20.79,173000
1999-05-18,21.17,21.07,21.35,20.74,124800
1999-05-19,21.12,21.20,21.22,20.94,61000
1999-05-20,21.20,20.94,21.35,20.94,133500
1999-05-21,20.89,20.89,21.02,20.73,71600
1999-05-24,20.59,20.44,20.69,20.21,413900
1999-05-25,20.31,19.90,20.42,19.90,67000
1999-05-26,20.00,20.55,20.55,19.80,173400
1999-05-27,20.37,20.05,20.37,19.97,37700
1999-05-28,20.21,20.37,20.44,20.07,33900
1999-06-01,20.26,20.08,20.36,19.85,197700
