Date,Open,Close,High,Low,Volume
1999-01-14,24.08,24.36,24.42,24.08,4800
1999-01-15,24.08,24.36,24.42,24.08,4800
1999-01-19,24.58,24.31,24.58,24.11,9400
1999-01-20,24.38,24.20,24.50,24.20,1300
1999-01-21,24.14,24.00,24.14,23.98,1500
1999-01-22,23.66,24.00,24.00,23.53,8700
1999-01-25,23.64,23.92,23.92,23.61,4300
1999-01-27,24.20,24.11,24.20,24.11,500
1999-01-28,24.03,24.14,24.19,23.95,1900
1999-01-29,24.23,24.30,24.41,23.95,108700
1999-02-01,24.36,24.33,24.45,24.33,2400
1999-02-02,24.16,24.14,24.19,23.86,20700
1999-02-03,24.14,24.38,24.38,24.14,20100
1999-02-04,24.38,24.41,24.42,24.25,6100
1999-02-05,24.48,24.33,24.48,24.30,4300
1999-02-08,24.50,24.41,24.50,24.19,2700
1999-02-09,24.08,24.08,24.08,24.08,0
1999-02-10,24.17,24.17,24.17,24.05,5400
1999-02-11,24.38,24.47,24.47,24.38,3200
1999-02-12,24.39,24.31,24.39,24.31,2500
1999-02-16,24.47,24.48,24.53,24.47,3800
1999-02-17,24.28,24.48,24.75,24.28,5400
1999-02-18,24.33,24.48,24.53,24.27,3600
1999-02-19,24.38,24.64,24.67,24.38,2800
1999-02-22,24.73,25.02,25.02,24.72,6300
1999-02-23,24.94,25.00,25.05,24.86,5300
1999-02-24,25.16,24.88,25.17,24.88,4400
1999-02-25,24.52,24.44,24.52,24.28,3200
1999-02-26,24.56,24.52,24.66,24.38,3200
1999-03-01,24.47,24.50,24.50,24.31,2200
1999-03-02,24.56,24.30,24.61,24.30,47600
1999-03-03,24.48,24.16,24.48,24.11,13600
1999-03-04,24.34,24.41,24.59,24.34,13500
1999-03-05,25.05,25.17,25.17,25.05,5100
1999-03-08,25.27,25.31,25.31,25.19,1800
1999-03-09,25.31,25.44,25.52,25.30,1800
1999-03-10,25.34,25.39,25.39,25.23,1300
1999-03-11,25.41,25.42,25.70,25.41,1800
1999-03-12,25.45,25.50,25.55,25.45,2200
1999-03-15,25.48,25.44,25.58,25.44,1900
1999-03-16,25.48,25.27,25.48,25.27,4300
1999-03-17,25.38,25.22,25.38,25.19,1600
1999-03-18,25.17,25.28,25.28,25.11,3800
1999-03-19,25.31,25.34,25.42,25.31,8500
1999-03-22,25.23,25.16,25.34,25.14,9900
1999-03-23,25.16,24.56,25.16,24.56,4300
1999-03-24,24.56,24.45,25.58,24.44,4300
1999-03-25,24.63,24.77,24.92,24.61,6400
1999-03-26,24.77,24.83,24.86,24.77,3100
1999-03-29,25.13,25.23,25.23,25.13,2800
1999-03-30,25.06,25.22,25.25,25.06,3500
1999-03-31,25.06,25.22,25.22,24.94,12700
1999-04-01,24.97,25.20,25.20,24.97,3500
