Date,Open,Close,High,Low,Volume
1999-01-15,34.00,34.78,34.80,33.84,585400
1999-01-19,35.63,35.98,36.00,35.02,394200
1999-01-20,36.88,36.31,37.48,36.25,990400
1999-01-21,36.25,35.38,36.31,35.16,1393700
1999-01-22,34.75,35.38,35.41,34.39,1087700
1999-01-25,35.19,35.36,35.38,34.63,868200
1999-01-26,35.75,36.78,36.81,35.75,602700
1999-01-27,37.25,36.03,37.48,36.03,1153900
1999-01-28,36.75,37.27,37.28,36.61,777600
1999-01-29,37.38,37.78,37.81,36.97,802500
1999-02-01,38.16,37.84,38.38,37.56,821100
1999-02-02,38.00,37.20,38.00,36.63,1122000
1999-02-03,38.06,37.47,38.06,36.88,1224100
1999-02-04,37.75,36.06,37.75,35.88,1776800
1999-02-05,36.00,35.31,36.22,34.75,1584100
1999-02-08,35.81,35.91,36.09,35.14,1098200
1999-02-09,36.00,34.34,36.03,34.31,1957100
1999-02-10,35.41,34.75,35.41,34.27,1243000
1999-02-11,35.53,36.22,36.25,35.53,2473800
1999-02-12,35.38,34.84,35.78,34.63,2636900
1999-02-16,35.75,34.84,35.78,34.53,1536000
1999-02-17,34.97,33.84,34.97,33.67,2590300
1999-02-18,34.31,34.03,34.41,33.34,1817700
1999-02-19,34.63,34.34,34.88,34.16,1540800
1999-02-22,34.59,35.63,35.66,34.34,2168400
1999-02-23,36.00,36.03,36.47,35.78,1780300
1999-02-24,36.38,35.03,36.44,34.13,2313000
1999-02-25,34.38,35.13,35.13,34.22,2342700
1999-02-26,35.06,34.06,35.13,33.78,2133500
1999-03-01,33.63,33.91,34.16,33.44,905100
1999-03-02,34.19,33.00,34.48,33.00,2274700
1999-03-03,33.50,33.56,33.69,32.88,1362200
1999-03-04,34.36,33.91,34.44,33.19,2920900
1999-03-05,34.88,34.69,35.00,34.27,1564100
1999-03-08,35.50,35.69,35.72,35.06,1416500
1999-03-09,35.50,35.31,36.17,35.19,670100
1999-03-10,35.31,35.31,35.53,34.89,343900
1999-03-11,35.50,35.25,35.86,34.94,886200
1999-03-12,35.56,34.94,35.56,34.56,745900
1999-03-15,35.06,35.50,35.50,34.69,322300
1999-03-16,35.53,36.11,36.23,35.44,583800
1999-03-17,36.09,35.88,36.11,35.63,311000
1999-03-18,35.75,36.38,36.38,35.64,195200
1999-03-19,36.69,35.50,36.86,35.50,508100
1999-03-22,35.44,35.50,35.84,35.19,708700
1999-03-23,35.19,34.47,35.25,34.22,1375200
1999-03-24,34.69,35.14,35.25,34.09,497900
1999-03-25,35.69,35.97,36.09,35.59,505300
1999-03-26,35.81,35.78,36.38,35.64,309800
1999-03-29,36.25,37.00,37.19,36.16,848200
1999-03-30,37.00,37.06,37.48,36.77,743600
1999-03-31,37.50,37.06,37.78,36.53,616400
