Date,Open,Close,High,Low,Volume
1999-01-14,26.25,26.13,26.25,25.83,38100
1999-01-15,26.25,26.13,26.25,25.83,38100
1999-01-19,26.33,25.83,26.33,25.66,34800
1999-01-20,25.98,25.91,26.19,25.78,477600
1999-01-21,25.80,25.52,25.94,25.36,41900
1999-01-22,25.36,25.52,25.67,25.22,73700
1999-01-25,25.39,25.33,25.48,25.11,172800
1999-01-26,25.34,25.92,25.92,25.30,82200
1999-01-27,26.17,26.27,26.42,26.09,44800
1999-01-28,26.30,26.73,26.80,26.27,54400
1999-01-29,26.81,26.80,26.98,26.44,160100
1999-02-01,26.98,26.69,27.08,26.67,53600
1999-02-02,26.78,26.91,26.91,26.53,80300
1999-02-03,26.78,26.81,26.91,26.55,60600
1999-02-04,26.70,26.69,26.91,26.56,26700
1999-02-05,26.69,26.28,26.69,26.22,28100
1999-02-08,26.22,26.23,26.38,26.02,81500
1999-02-09,26.17,25.77,26.17,25.72,42300
1999-02-10,25.89,25.95,25.95,25.63,30200
1999-02-11,26.88,26.39,26.88,26.22,18000
1999-02-12,26.44,26.17,26.52,25.98,28200
1999-02-16,26.44,26.48,26.67,26.41,36000
1999-02-17,26.47,26.22,26.72,26.03,25400
1999-02-18,26.31,26.41,26.58,26.27,22900
1999-02-19,26.45,26.39,26.63,26.34,30300
1999-02-22,26.50,26.95,27.13,26.50,178000
1999-02-23,26.98,26.91,27.16,26.81,32300
1999-02-24,27.09,26.59,27.27,26.59,64200
1999-02-25,26.53,26.44,26.61,26.08,21900
1999-02-26,26.38,26.52,26.59,26.22,10600
1999-03-01,26.42,26.39,26.52,26.16,14000
1999-03-02,26.53,26.31,26.70,26.27,24500
1999-03-03,26.42,26.31,26.42,26.05,29500
1999-03-04,26.36,26.67,26.72,26.22,82200
1999-03-05,26.69,27.08,27.23,26.69,39900
1999-03-08,27.14,27.20,27.20,26.83,26600
1999-03-09,27.94,27.23,27.94,27.00,21000
1999-03-10,27.13,26.94,27.13,26.84,30500
1999-03-11,27.14,27.20,27.39,27.02,47400
1999-03-12,27.45,27.44,27.58,27.25,44900
1999-03-15,27.59,27.67,27.88,27.50,242400
1999-03-16,27.72,27.80,27.95,27.70,56100
1999-03-17,27.78,27.33,27.78,27.31,32300
1999-03-18,27.22,27.80,27.80,27.22,15100
1999-03-19,27.92,27.63,27.92,27.41,172600
1999-03-22,27.48,27.61,27.63,27.28,91900
1999-03-23,27.30,26.83,27.48,26.52,86900
1999-03-24,26.59,26.81,26.86,26.50,44100
1999-03-25,27.06,27.02,27.19,26.77,42400
1999-03-26,26.77,26.92,26.98,26.72,19800
1999-03-29,27.19,27.27,27.47,27.19,14900
1999-03-30,26.72,27.03,27.14,26.72,41300
1999-03-31,27.23,27.03,27.23,26.41,31000
1999-04-01,26.69,26.48,26.69,26.38,35300
1999-04-05,26.75,26.63,26.75,26.53,28700
1999-04-06,26.48,26.33,26.48,26.14,129900
1999-04-07,26.55,26.33,26.55,26.14,73400
1999-04-08,26.55,26.91,26.97,26.14,47400
1999-04-09,26.80,26.91,27.13,26.63,54000
1999-04-12,27.00,27.42,27.55,27.00,20800
1999-04-13,27.63,27.52,27.67,27.19,68200
1999-04-14,27.50,26.69,27.50,26.58,35400
1999-04-15,26.77,26.03,26.77,25.75,282800
1999-04-16,26.16,26.14,26.16,25.88,13100
1999-04-19,26.02,25.05,26.19,25.00,53300
1999-04-20,25.31,25.52,25.73,25.13,24900
1999-04-21,25.75,26.33,26.52,25.75,86900
1999-04-22,26.31,26.66,26.66,26.31,27400
1999-04-23,26.52,26.61,26.70,26.39,12900
1999-04-26,26.63,26.42,26.63,26.23,47400
1999-04-27,26.77,26.45,26.77,26.45,34300
1999-04-28,26.28,26.03,26.38,25.59,96100
1999-04-29,26.11,25.86,26.11,25.75,17700
1999-04-30,25.91,25.52,25.97,25.31,31300
1999-05-03,25.75,26.11,26.11,25.59,39100
1999-05-04,26.25,25.73,26.31,25.73,84600
1999-05-05,26.14,26.14,26.14,25.48,20800
1999-05-06,26.22,25.80,26.22,25.73,24900
1999-05-07,25.80,26.02,26.20,25.75,28000
1999-05-10,26.00,25.61,26.00,25.61,117300
1999-05-11,25.88,25.72,26.03,25.61,54300
1999-05-12,25.70,26.09,26.13,25.67,34700
1999-05-13,26.25,26.22,26.31,26.00,164400
1999-05-14,25.73,25.75,26.00,25.52,32600
1999-05-17,25.55,25.92,25.97,25.48,31000
1999-05-18,25.92,25.58,26.05,25.50,90900
1999-05-19,25.95,25.88,25.98,25.63,53000
1999-05-20,25.86,26.00,26.17,25.86,134700
1999-05-21,25.95,25.92,26.08,25.73,75600
1999-05-24,25.77,25.25,26.05,25.25,16900
1999-05-25,25.33,25.00,25.55,25.00,28000
1999-05-26,25.00,25.00,25.25,24.86,56700
1999-05-27,24.78,24.77,25.27,24.77,19900
1999-05-28,25.13,25.25,25.41,25.00,13400
1999-06-01,25.30,25.34,25.36,24.95,25300
1999-06-02,25.08,24.95,25.28,24.95,61800
1999-06-03,25.00,25.19,25.39,25.00,28100
1999-06-04,25.19,26.06,26.06,25.19,14100
1999-06-07,25.88,25.84,26.03,25.77,20200
1999-06-08,25.78,25.48,25.83,25.34,75800
1999-06-09,25.45,25.34,25.67,25.25,17300
1999-06-10,25.00,25.00,25.23,24.81,67400
1999-06-11,25.25,24.63,25.88,24.63,16300
1999-06-14,24.64,24.70,25.84,24.56,24500
1999-06-15,24.75,24.77,25.00,24.67,23000
1999-06-16,25.00,24.95,25.03,24.72,33800
1999-06-17,24.88,25.16,25.38,24.88,22000
1999-06-18,25.09,25.08,25.16,24.81,31800
1999-06-21,25.02,24.77,25.02,24.50,27700
1999-06-22,24.72,24.91,25.00,24.72,66500
1999-06-23,24.61,24.64,24.89,24.52,14800
1999-06-24,24.55,24.56,25.84,24.50,20300
1999-06-25,24.94,24.55,25.00,24.41,143600
1999-06-28,24.84,24.56,25.00,24.52,13800
1999-06-29,24.63,25.22,25.22,24.52,33500
1999-06-30,25.13,25.59,25.59,24.95,44600
1999-07-01,25.67,25.91,25.95,25.58,27900
1999-07-02,25.83,25.88,25.98,25.72,37700
1999-07-06,25.98,25.86,26.23,25.70,78300
1999-07-07,25.91,25.75,25.92,25.70,14400
1999-07-08,25.53,25.55,25.98,25.53,28000
1999-07-09,25.91,25.67,25.91,25.63,30800
1999-07-12,25.75,25.63,25.75,25.55,10300
1999-07-13,25.55,25.72,26.00,25.55,15500
1999-07-14,25.75,25.64,25.89,25.58,14400
1999-07-15,25.83,25.92,26.22,25.83,17200
1999-07-16,26.20,25.88,26.20,25.83,15400
1999-07-19,26.25,25.66,26.25,25.59,24300
1999-07-20,25.84,25.39,25.98,25.33,26900
1999-07-21,25.63,25.55,25.72,25.34,21500
1999-07-22,25.55,25.27,25.66,25.13,23000
1999-07-23,25.39,25.27,25.47,25.06,32400
1999-07-26,25.16,25.31,25.31,25.02,76600
1999-07-27,25.16,25.39,25.56,25.09,28300
1999-07-28,25.23,25.16,25.31,25.03,18600
1999-07-29,25.00,24.78,25.00,24.55,112100
1999-07-30,24.78,24.64,25.00,24.63,47000
1999-08-02,24.67,24.64,24.97,24.64,25800
1999-08-03,24.89,24.83,24.95,24.56,46500
1999-08-04,24.98,24.38,24.98,24.19,51600
1999-08-05,24.38,24.44,24.50,23.86,75300
1999-08-06,24.28,23.80,24.28,23.80,13400
1999-08-09,24.13,23.97,24.19,23.89,3400
1999-08-10,24.08,23.89,24.08,23.63,18400
1999-08-11,23.97,23.64,23.98,23.56,31000
1999-08-12,23.73,24.13,24.28,23.73,23200
1999-08-13,24.33,24.25,24.44,24.11,15700
1999-08-16,24.38,24.39,24.50,24.17,32800
1999-08-17,24.53,24.52,24.56,24.23,22000
1999-08-18,24.52,24.22,24.61,24.22,26400
1999-08-19,24.02,24.33,24.39,24.02,14300
1999-08-20,24.27,24.81,24.88,24.22,71600
1999-08-23,25.00,25.36,25.36,25.00,38800
1999-08-24,25.09,25.25,25.44,25.09,40800
1999-08-25,25.09,26.00,26.02,25.09,48400
1999-08-26,25.69,25.58,26.05,25.58,9100
1999-08-27,25.23,25.25,25.83,25.23,38700
1999-08-30,25.38,25.13,25.50,25.13,30800
1999-08-31,25.05,25.06,25.38,24.89,12100
1999-09-01,24.89,24.97,25.14,24.83,15800
1999-09-02,24.97,24.94,25.02,24.63,12600
1999-09-03,25.38,25.38,25.48,25.20,131100
1999-09-07,25.48,25.19,25.50,25.05,187500
1999-09-08,25.05,24.95,25.33,24.92,50800
1999-09-09,24.88,24.84,25.00,24.72,71000
1999-09-10,24.94,24.88,25.13,24.75,29500
1999-09-13,24.75,24.84,24.88,24.63,17000
1999-09-14,24.67,24.44,24.67,24.33,10700
1999-09-15,24.48,24.25,24.73,24.25,48600
1999-09-16,24.42,24.31,24.42,24.00,34200
1999-09-17,24.38,24.30,24.55,24.23,26400
1999-09-20,24.53,24.39,24.56,24.27,14100
1999-09-21,24.11,23.97,24.22,23.73,26200
1999-09-22,23.97,23.95,24.11,23.59,21300
1999-09-23,23.91,23.25,23.91,23.25,34200
1999-09-24,23.25,23.27,23.38,23.00,35900
1999-09-27,23.30,23.19,23.50,23.19,22400
1999-09-28,23.06,22.84,23.06,22.53,85100
1999-09-29,22.77,22.25,22.97,22.25,55700
1999-09-30,22.77,22.86,22.95,22.61,19000
1999-10-01,22.81,23.13,23.25,22.73,52400
1999-10-04,23.38,23.39,23.48,23.23,34000
1999-10-05,23.23,23.03,23.53,23.03,31400
1999-10-06,23.56,24.02,24.02,23.38,29300
1999-10-07,23.81,23.83,24.16,23.73,32200
1999-10-08,24.02,24.47,24.69,24.02,26300
1999-10-11,24.41,24.67,24.69,24.41,44000
1999-10-12,24.19,24.03,24.28,23.95,85700
1999-10-13,24.13,23.56,24.14,23.55,15700
1999-10-14,23.69,23.56,23.69,23.27,34100
1999-10-15,23.33,22.77,23.33,22.75,51900
1999-10-18,22.98,23.19,23.31,22.86,10200
1999-10-19,23.83,24.17,24.20,23.66,65100
1999-10-20,24.20,24.27,24.36,23.94,170200
1999-10-21,24.06,24.44,24.44,24.06,30300
1999-10-22,24.78,24.59,24.78,24.41,52000
1999-10-25,24.11,24.31,24.64,24.05,104500
1999-10-26,24.25,23.78,24.44,23.78,12400
1999-10-27,23.86,24.16,24.16,23.77,60100
1999-10-28,24.38,24.73,24.91,24.38,116300
1999-10-29,24.88,24.94,25.28,24.88,138800
1999-11-01,25.06,24.88,25.06,24.78,101200
1999-11-02,24.64,24.39,25.00,24.39,259000
1999-11-03,24.66,24.75,25.08,24.66,81100
1999-11-04,25.31,24.91,25.31,24.89,23900
1999-11-05,25.16,25.06,25.23,24.94,40500
1999-11-08,24.91,24.89,25.03,24.83,13700
1999-11-09,25.17,24.75,25.17,24.52,28100
1999-11-10,24.42,24.64,24.73,24.42,23500
1999-11-11,24.64,24.64,24.88,24.55,21000
1999-11-12,24.64,24.64,24.86,24.47,22300
1999-11-15,24.70,24.70,24.88,24.59,61400
1999-11-16,24.81,25.17,25.17,24.81,21900
1999-11-17,25.00,25.02,25.25,25.00,39800
1999-11-18,25.00,25.17,25.27,24.86,80800
1999-11-19,25.00,25.00,25.19,24.83,20800
1999-11-22,24.95,25.27,25.38,24.95,25900
1999-11-23,25.31,25.20,25.45,25.11,27300
1999-11-24,25.38,25.50,25.50,25.16,38900
1999-11-26,25.64,25.25,25.64,25.25,14300
1999-11-29,25.31,25.23,25.31,24.97,24200
1999-11-30,25.30,25.05,25.30,24.95,19400
1999-12-01,24.73,24.81,24.95,24.59,32200
1999-12-02,24.72,24.78,24.92,24.63,53700
1999-12-06,24.88,24.39,24.92,24.31,39300
1999-12-07,24.47,23.77,24.47,23.77,34100
1999-12-08,23.83,23.61,23.89,23.52,26600
1999-12-09,23.56,23.59,23.80,23.28,41900
1999-12-10,23.78,23.72,23.78,23.50,39400
1999-12-13,23.34,23.22,23.34,23.03,52600
1999-12-14,22.88,23.19,23.38,22.86,62600
1999-12-15,23.34,23.59,23.63,23.08,75300
1999-12-16,23.36,23.00,23.36,22.89,53000
1999-12-17,23.00,23.00,23.20,22.88,1152900
1999-12-20,22.77,22.70,22.95,22.52,884200
1999-12-21,22.77,22.48,23.56,22.39,1085100
1999-12-22,22.70,22.92,23.09,22.63,661600
1999-12-23,23.13,23.31,23.44,23.13,388600
1999-12-27,23.36,23.47,23.75,23.19,2618200
1999-12-28,23.42,23.28,23.56,23.17,60500
1999-12-29,23.25,22.94,23.25,22.94,37000
1999-12-30,23.05,23.02,23.23,22.97,53900
1999-12-31,23.02,23.03,25.17,22.89,21400
2000-01-03,23.13,22.69,23.13,22.47,566700
2000-01-04,22.31,22.11,22.66,22.08,142300
2000-01-05,22.27,22.39,22.61,22.19,314900
2000-01-06,22.66,22.92,22.98,22.48,347900
2000-01-07,23.33,24.17,24.42,23.27,304400
2000-01-10,24.13,23.83,24.27,23.73,420800
2000-01-11,23.94,23.83,24.16,23.83,114900
2000-01-12,24.00,23.95,24.17,23.88,72700
2000-01-13,24.09,24.08,24.31,23.77,217300
2000-01-14,24.09,24.02,24.48,23.97,58800
2000-01-18,23.89,23.91,24.05,23.66,200500
2000-01-19,23.86,23.92,23.92,23.70,78200
2000-01-20,23.86,23.59,24.03,23.39,411600
2000-01-21,23.73,23.25,23.73,23.14,300300
2000-01-24,23.19,22.66,23.22,22.30,256000
2000-01-25,22.66,22.38,22.66,22.38,71100
2000-01-26,22.52,22.58,22.78,22.52,366200
2000-01-27,22.58,22.67,23.03,22.39,53600
2000-01-28,22.55,22.81,23.03,22.55,32000
2000-01-31,22.47,23.23,23.23,22.25,170500
2000-02-01,23.05,23.00,23.05,22.64,93100
