Date,Open,Close,High,Low,Volume
1999-01-15,29.50,29.80,29.80,29.42,6600
1999-01-19,30.44,30.53,30.53,30.00,10000
1999-01-20,30.56,30.41,30.73,30.28,31400
1999-01-21,30.63,30.30,30.63,30.30,20500
1999-01-22,30.09,30.30,30.72,29.97,20600
1999-01-25,30.50,29.36,30.50,29.36,13000
1999-01-26,29.69,29.94,29.94,29.23,14100
1999-01-27,29.86,29.48,29.86,29.48,7600
1999-01-28,29.56,29.53,29.94,29.53,17600
1999-01-29,29.53,29.48,29.66,29.20,39600
1999-02-01,29.66,29.42,29.66,29.25,12100
1999-02-02,29.06,29.03,29.06,28.66,27600
1999-02-03,28.88,29.19,29.22,28.88,32500
1999-02-04,29.14,28.75,29.14,28.75,18100
1999-02-05,28.86,28.77,29.02,28.77,5900
1999-02-08,28.78,28.77,28.97,28.72,13300
1999-02-09,28.83,28.89,29.16,28.77,9400
1999-02-10,28.89,28.69,28.98,28.67,8000
1999-02-11,28.95,28.81,28.97,28.72,4400
1999-02-12,28.95,28.34,28.95,28.22,103000
1999-02-16,28.86,28.86,28.86,28.64,59200
1999-02-17,28.78,28.66,29.25,28.66,57400
1999-02-18,28.78,29.17,29.56,28.66,13500
1999-02-19,29.02,28.86,29.16,28.75,9600
1999-02-22,28.97,29.80,29.80,28.97,6000
1999-02-23,29.53,28.86,29.53,28.75,14800
1999-02-24,28.95,29.13,29.56,28.95,65400
1999-02-25,28.94,28.50,28.97,28.38,22300
1999-02-26,28.70,28.67,28.70,28.27,11400
1999-03-01,28.44,28.25,28.44,28.08,8300
1999-03-02,28.44,27.83,28.52,27.83,8900
1999-03-03,27.84,27.84,28.02,27.84,4500
1999-03-04,28.08,28.28,28.28,28.00,5500
1999-03-05,28.75,28.73,28.81,28.42,18800
1999-03-08,28.64,28.44,28.64,28.30,35300
1999-03-09,28.47,28.36,28.58,28.19,5300
1999-03-10,28.23,28.27,28.30,28.23,30900
1999-03-11,28.30,28.48,28.66,28.22,8900
1999-03-12,28.89,28.80,28.92,28.66,6900
1999-03-15,28.92,28.88,29.00,28.75,15400
1999-03-16,28.78,28.89,28.92,28.61,9900
1999-03-17,28.83,28.50,28.89,28.50,11900
1999-03-18,28.44,28.92,28.92,28.44,10800
1999-03-19,28.55,28.20,28.75,28.20,50100
1999-03-22,28.42,28.30,28.53,28.27,38000
1999-03-23,28.05,27.41,28.05,27.23,33100
1999-03-24,27.59,27.78,27.91,27.25,22500
1999-03-25,27.80,27.69,27.80,27.53,7400
1999-03-26,27.27,27.20,27.39,27.16,9500
1999-03-29,27.39,27.19,27.55,27.19,14300
1999-03-30,26.94,26.75,27.08,26.75,11300
1999-03-31,26.94,26.75,26.98,26.72,17000
1999-04-01,26.80,27.25,27.25,26.80,10900
1999-04-05,27.58,27.47,27.58,27.47,7900
1999-04-06,27.41,27.33,27.44,27.30,38200
1999-04-07,27.44,27.33,27.75,27.33,24100
1999-04-08,27.78,28.42,28.53,27.78,43000
1999-04-09,28.47,28.42,28.47,28.16,16800
1999-04-12,28.25,28.63,28.67,28.16,8800
1999-04-13,28.63,28.16,28.63,28.16,12200
1999-04-14,28.25,27.75,28.25,27.73,24000
1999-04-15,28.02,28.03,28.06,27.91,17100
1999-04-16,28.17,28.41,28.41,28.17,2300
1999-04-19,28.63,28.63,29.13,28.58,7500
1999-04-20,28.66,28.94,28.94,28.66,7300
1999-04-21,29.06,29.45,29.45,28.86,19300
1999-04-22,29.16,29.36,29.36,28.98,11600
1999-04-23,29.53,29.34,29.53,29.31,6000
1999-04-26,29.34,29.19,29.55,29.19,3500
1999-04-27,29.05,29.36,29.36,29.05,7500
1999-04-28,29.48,29.23,29.52,29.23,5700
1999-04-29,28.73,29.66,29.83,28.73,7200
1999-04-30,29.50,29.27,29.59,29.00,32000
1999-05-03,29.36,29.70,29.80,29.36,4000
1999-05-04,29.88,29.45,29.88,29.38,48100
1999-05-05,29.52,29.69,29.69,29.39,26900
1999-05-06,29.56,29.06,29.56,29.06,14200
1999-05-07,29.50,29.42,29.59,29.42,6100
1999-05-10,29.42,29.34,29.42,29.33,3300
1999-05-11,29.27,29.45,29.47,29.27,15600
1999-05-12,29.39,29.53,29.53,29.33,9700
1999-05-13,29.42,30.00,30.00,29.42,5200
1999-05-14,29.41,29.45,29.58,29.38,10000
1999-05-17,29.55,29.97,29.98,29.33,7500
1999-05-18,29.92,29.31,29.92,29.27,6800
1999-05-19,29.61,29.92,29.95,29.61,27600
1999-05-20,29.89,29.86,30.06,29.70,22400
1999-05-21,29.67,29.58,29.77,29.58,3600
1999-05-24,29.86,29.88,30.03,29.70,10700
1999-05-25,30.00,29.91,30.34,29.91,18100
1999-05-26,29.86,30.06,30.14,29.75,8200
1999-05-27,29.94,29.55,29.94,29.53,7000
1999-05-28,29.63,29.61,29.73,29.61,2100
1999-06-01,29.52,29.59,29.59,29.33,4800
1999-06-02,29.73,29.50,29.73,29.41,59000
1999-06-03,29.59,29.38,29.59,29.20,4500
1999-06-04,29.56,29.75,29.75,29.56,9700
1999-06-07,29.94,30.00,30.08,29.83,10100
1999-06-08,30.16,30.00,30.27,30.00,3900
1999-06-09,30.13,30.23,30.23,30.09,3500
1999-06-10,30.00,29.98,30.00,29.72,3600
1999-06-11,30.00,29.78,30.02,29.75,6500
1999-06-14,30.16,30.61,30.64,30.14,52500
1999-06-15,30.67,30.64,30.81,30.63,37900
1999-06-16,30.72,30.94,31.00,30.72,123100
1999-06-17,30.70,30.67,30.84,30.63,3300
1999-06-18,30.78,30.59,30.78,30.55,67600
1999-06-21,30.42,30.36,30.42,30.23,56300
1999-06-22,30.28,30.25,30.45,30.25,10200
1999-06-23,30.36,30.16,30.36,30.13,5300
1999-06-24,29.92,29.69,29.92,29.67,4000
1999-06-25,29.72,29.67,30.03,29.67,16600
1999-06-28,29.94,29.98,30.16,29.94,7900
1999-06-29,29.94,30.00,30.06,29.84,3400
1999-06-30,30.08,30.64,30.81,30.08,24300
1999-07-01,30.80,30.53,30.80,30.47,25400
1999-07-02,30.42,30.55,30.55,30.34,6800
1999-07-06,30.45,30.45,30.69,30.30,11000
1999-07-07,30.56,30.73,30.73,30.55,2400
1999-07-08,30.78,30.48,30.78,30.48,4900
1999-07-09,29.91,30.48,30.55,29.91,19100
1999-07-12,30.59,30.36,30.59,30.27,6700
1999-07-13,30.50,30.22,30.50,30.22,900
1999-07-14,30.27,30.41,30.41,30.27,10100
1999-07-15,30.27,30.88,30.88,30.27,5200
1999-07-16,31.03,31.23,31.25,31.03,1300
1999-07-19,31.25,30.94,31.25,30.94,4400
1999-07-20,31.02,31.23,31.23,30.98,4000
1999-07-21,31.00,31.27,31.42,31.00,8500
1999-07-22,31.00,31.20,31.20,31.00,2100
1999-07-23,31.11,31.20,31.20,31.02,2700
1999-07-26,30.92,31.06,31.19,30.92,22100
1999-07-27,31.23,31.25,31.41,31.09,4700
1999-07-28,31.28,31.19,31.36,31.17,2300
1999-07-29,30.83,30.67,31.02,30.59,9800
1999-07-30,30.83,30.73,30.83,30.61,3200
1999-08-02,30.78,31.08,31.31,30.78,44500
1999-08-03,31.33,31.00,31.47,31.00,57400
1999-08-04,31.06,30.53,31.11,30.53,2600
1999-08-05,30.55,30.81,30.81,30.55,4000
