Date,Open,Close,High,Low,Volume
1999-01-14,26.56,26.83,26.91,26.56,7600
1999-01-15,26.56,26.83,26.91,26.56,7600
1999-01-19,27.28,27.59,27.66,26.25,17200
1999-01-20,27.75,27.75,28.13,27.59,20700
1999-01-21,27.69,26.91,27.69,26.72,22300
1999-01-22,26.59,26.91,26.91,26.41,64400
1999-01-25,26.69,26.89,26.91,26.44,493300
1999-01-26,26.94,27.02,27.03,26.67,184700
1999-01-27,27.09,26.75,27.09,26.75,5500
1999-01-28,27.00,27.25,27.34,27.00,23800
1999-01-29,27.28,27.25,27.28,26.91,11800
1999-02-01,27.38,27.41,27.47,27.16,30000
1999-02-02,26.97,27.00,27.05,26.63,141400
1999-02-03,26.94,27.52,27.52,26.94,38500
1999-02-04,27.38,27.31,27.44,27.13,6700
1999-02-05,27.31,27.00,27.31,26.81,15300
1999-02-08,27.13,26.98,27.13,26.88,6400
1999-02-09,27.06,26.50,27.09,26.50,218600
1999-02-10,26.31,26.56,26.56,26.19,17400
1999-02-11,26.78,27.28,27.28,26.75,5200
1999-02-12,27.13,26.94,27.13,26.72,8000
1999-02-16,27.13,27.13,27.31,26.72,18500
1999-02-17,27.06,26.84,27.25,26.81,12800
1999-02-18,26.94,27.19,27.20,26.77,10700
1999-02-19,27.19,27.27,27.38,27.19,13700
1999-02-22,27.38,27.73,27.86,27.31,16700
1999-02-23,27.91,27.80,27.91,27.50,12900
1999-02-24,27.88,27.47,27.98,27.47,25500
1999-02-25,27.34,27.20,27.34,26.88,97800
1999-02-26,27.31,27.36,27.36,26.89,9900
1999-03-01,27.22,27.23,27.23,26.92,6900
1999-03-02,27.41,27.22,27.64,27.05,11000
1999-03-03,27.31,27.05,27.31,27.00,11200
1999-03-04,27.44,27.53,27.53,27.23,8700
1999-03-05,27.94,28.16,28.22,27.84,24500
1999-03-08,28.09,28.19,28.19,27.94,41200
1999-03-09,27.84,27.97,28.25,27.81,11200
1999-03-10,27.94,28.22,28.22,27.78,3000
1999-03-11,28.22,28.41,28.56,28.22,18700
1999-03-12,28.53,28.25,28.66,28.25,15900
1999-03-15,28.44,28.34,28.55,28.22,142300
1999-03-16,28.44,28.38,28.44,28.23,8400
1999-03-17,28.19,28.13,28.36,28.02,2400
1999-03-18,27.97,28.52,28.52,27.97,7200
1999-03-19,28.53,28.53,28.66,28.28,5700
1999-03-22,28.31,28.31,28.59,28.28,39900
1999-03-23,28.25,27.53,28.25,27.44,15000
1999-03-24,27.47,27.66,27.66,27.34,12100
1999-03-25,27.91,28.13,28.13,27.75,8600
1999-03-26,27.92,27.91,28.03,27.84,6100
1999-03-29,27.94,28.25,28.33,27.94,7600
1999-03-30,28.22,28.16,28.36,28.09,36800
1999-03-31,28.13,28.16,28.17,28.00,5200
1999-04-01,28.00,28.16,28.16,27.66,20500
1999-04-05,28.59,28.75,28.75,28.59,11400
1999-04-06,28.75,28.66,28.88,28.56,7500
1999-04-07,28.84,28.66,29.34,28.66,13300
1999-04-08,29.13,29.50,29.50,29.09,22400
1999-04-09,29.50,29.50,29.59,29.28,6300
1999-04-12,29.50,30.34,30.34,29.50,85200
1999-04-13,30.44,30.03,30.47,30.03,21900
1999-04-14,30.25,29.75,30.31,29.75,65300
1999-04-15,29.81,29.00,29.81,28.78,15000
1999-04-16,29.00,28.72,29.00,28.53,5700
1999-04-19,28.94,27.94,29.09,27.88,21400
1999-04-20,28.13,28.47,28.47,27.97,13100
1999-04-21,28.63,29.13,29.13,28.63,14000
1999-04-22,29.25,29.72,29.84,29.25,17900
1999-04-23,29.91,30.39,30.39,29.91,6300
1999-04-26,30.53,30.34,30.53,30.19,32800
1999-04-27,30.58,30.38,30.58,30.09,12500
1999-04-28,30.25,29.56,30.25,29.56,19200
1999-04-29,29.81,29.22,29.81,29.03,9300
1999-04-30,29.44,29.00,29.59,29.00,4700
1999-05-03,29.34,29.56,29.59,29.25,12300
1999-05-04,29.69,29.00,29.69,29.00,20600
1999-05-05,29.09,29.25,29.31,28.81,14300
1999-05-06,29.50,29.38,29.59,29.31,14500
1999-05-07,29.63,29.28,29.63,29.19,5600
1999-05-10,29.31,29.22,29.56,29.16,21300
1999-05-11,29.56,29.69,29.75,29.56,35100
1999-05-12,29.47,29.97,30.06,29.47,6600
1999-05-13,30.09,29.78,30.09,29.75,7900
1999-05-14,29.13,29.25,30.25,29.13,3600
1999-05-17,28.91,29.06,29.06,28.69,4300
1999-05-18,29.09,28.75,29.22,28.75,6000
1999-05-19,28.97,29.09,29.19,28.91,7800
1999-05-20,29.28,29.48,29.63,29.28,11900
1999-05-21,29.38,29.16,29.38,29.06,8400
1999-05-24,29.22,28.47,29.25,28.47,11000
1999-05-25,28.50,28.19,28.75,28.19,5900
1999-05-26,28.38,28.22,28.38,28.05,7200
1999-05-27,28.11,27.91,28.11,27.73,5800
1999-05-28,28.00,28.11,28.13,27.95,5500
1999-06-01,28.06,28.19,28.19,27.84,4200
1999-06-02,28.34,28.09,28.34,27.78,8700
1999-06-03,28.28,28.31,28.44,28.28,3900
1999-06-04,28.88,29.00,29.03,28.88,700
1999-06-07,28.75,28.75,28.75,28.53,3700
1999-06-08,28.77,28.52,28.77,28.52,5300
1999-06-09,28.53,28.53,28.75,28.48,3000
1999-06-10,28.22,28.30,28.30,27.94,11100
1999-06-11,28.44,27.97,28.47,27.97,2200
1999-06-14,28.25,28.13,28.25,28.09,12100
1999-06-15,28.31,28.44,28.69,28.31,3400
1999-06-16,28.94,29.00,29.00,28.91,13200
1999-06-17,29.06,29.14,29.27,28.97,11000
1999-06-18,29.00,29.00,29.16,28.94,5800
1999-06-21,29.09,28.86,29.09,28.84,13400
1999-06-22,29.09,28.81,29.09,28.81,3900
1999-06-23,28.70,28.88,28.88,28.47,7700
1999-06-24,28.56,28.34,28.66,28.20,12600
1999-06-25,28.63,28.42,28.63,28.42,2500
1999-06-28,28.44,28.69,28.69,28.41,2400
1999-06-29,28.75,28.97,29.03,28.66,2000
1999-06-30,29.03,29.34,29.47,28.75,19900
1999-07-01,29.22,29.44,29.50,29.19,3100
1999-07-02,29.53,29.44,29.53,29.22,15400
1999-07-06,29.13,29.38,29.41,29.13,5100
1999-07-07,29.38,29.56,29.56,29.38,1700
1999-07-08,29.38,29.50,29.58,29.31,9400
1999-07-09,29.41,29.63,29.63,29.41,10200
1999-07-12,29.63,29.69,29.78,29.50,3600
1999-07-13,29.56,29.63,29.72,29.56,4500
1999-07-14,29.75,29.56,29.75,29.44,15800
1999-07-15,29.91,29.83,29.91,29.66,7000
1999-07-16,29.84,29.84,29.94,29.66,4800
1999-07-19,30.03,29.72,30.03,29.69,5700
1999-07-20,29.63,29.59,29.78,29.53,15200
1999-07-21,29.41,29.53,29.66,29.38,13800
1999-07-22,29.38,29.06,29.50,29.03,9600
1999-07-23,29.19,29.06,29.19,28.75,16600
1999-07-26,28.56,28.97,28.97,28.56,16900
1999-07-27,29.28,29.38,29.47,29.00,8400
1999-07-28,29.28,29.16,29.34,29.09,4600
1999-07-29,28.84,28.66,28.88,28.56,7700
1999-07-30,28.69,28.47,28.84,28.47,2400
1999-08-02,28.44,28.28,28.63,28.25,69700
1999-08-03,28.31,28.16,28.31,27.97,4600
1999-08-04,28.09,27.75,28.16,27.75,2000
1999-08-05,27.75,27.55,27.75,27.19,29900
1999-08-06,27.41,27.31,27.53,27.25,6900
1999-08-09,27.38,27.41,27.50,27.31,5700
1999-08-10,27.16,26.69,27.16,26.69,5800
1999-08-11,26.80,27.13,27.13,26.80,11000
1999-08-12,27.19,27.13,27.31,27.03,9800
1999-08-13,27.50,27.59,27.69,27.47,7800
1999-08-16,27.63,27.59,27.84,27.56,17100
1999-08-17,27.88,27.94,28.03,27.73,14400
1999-08-18,28.06,28.13,28.27,27.92,7700
1999-08-19,27.94,28.00,28.00,27.70,4600
1999-08-20,28.06,27.94,28.13,27.94,2700
1999-08-23,28.22,28.20,28.25,28.08,5000
1999-08-24,28.13,27.81,28.13,27.78,10900
1999-08-25,27.66,28.13,28.16,27.64,9600
1999-08-26,28.19,28.16,28.34,28.03,5100
1999-08-27,28.11,27.95,28.11,27.83,5000
1999-08-30,27.92,27.28,27.92,27.28,12900
1999-08-31,27.19,27.19,27.33,26.88,15400
1999-09-01,27.06,27.22,27.34,27.06,3500
1999-09-02,26.94,26.94,27.11,26.91,6200
1999-09-03,27.58,27.89,27.89,27.56,5700
1999-09-07,28.05,28.13,28.22,28.05,9900
1999-09-08,28.00,28.13,28.25,28.00,10700
1999-09-09,28.00,27.84,28.05,26.75,6600
1999-09-10,27.95,27.97,28.03,27.80,7800
1999-09-13,27.94,27.92,27.98,27.77,4500
1999-09-14,27.73,27.64,27.86,27.64,5000
1999-09-15,27.81,27.38,27.84,27.38,5900
1999-09-16,27.22,27.39,27.39,27.06,7000
1999-09-17,27.52,28.17,28.17,27.52,9700
1999-09-20,27.31,27.83,28.20,27.31,7500
1999-09-21,27.45,27.33,28.42,27.27,9200
1999-09-22,27.36,27.27,27.44,27.09,4600
1999-09-23,27.33,26.97,27.48,26.97,3500
1999-09-24,27.02,26.55,27.02,26.53,5500
1999-09-27,26.88,26.75,26.88,26.00,3000
1999-09-28,26.69,26.50,26.72,26.22,15900
1999-09-29,26.66,26.72,26.84,26.66,3800
1999-09-30,26.58,26.81,26.91,26.47,9000
1999-10-01,26.77,26.72,26.86,26.42,9700
1999-10-04,26.75,27.13,27.13,26.75,5900
1999-10-05,27.00,26.81,27.09,26.81,8400
1999-10-06,27.00,27.44,27.44,26.81,21300
1999-10-07,27.39,27.19,27.50,27.16,7800
1999-10-08,27.08,27.48,27.48,27.08,4300
1999-10-11,27.31,27.41,27.56,27.31,3300
1999-10-12,27.19,26.94,27.25,26.94,4300
1999-10-13,26.89,26.34,26.91,26.34,12500
1999-10-14,26.17,26.25,26.41,26.09,4800
1999-10-15,25.81,25.80,26.00,25.80,6700
1999-10-18,25.55,25.67,25.75,25.33,3800
1999-10-19,26.05,25.69,26.16,25.69,6300
1999-10-20,26.16,26.31,26.38,25.97,44100
1999-10-21,26.17,26.36,26.36,26.09,3800
1999-10-22,26.17,26.69,26.72,26.09,25700
1999-10-25,26.63,26.69,26.69,26.44,19200
1999-10-26,26.75,26.63,26.81,26.56,28000
1999-10-27,26.58,26.50,26.58,26.22,32200
