Date,Open,Close,High,Low,Volume
1999-01-14,26.19,26.17,26.20,26.08,34500
1999-01-15,26.19,26.17,26.20,26.08,34500
1999-01-19,26.47,26.16,26.58,26.16,4000
1999-01-20,26.53,26.59,26.84,26.42,3500
1999-01-21,26.53,26.34,26.56,26.28,31400
1999-01-22,25.94,26.34,26.55,25.88,9300
1999-01-25,26.34,26.41,26.47,26.22,6100
1999-01-26,26.56,27.03,27.03,26.48,3600
1999-01-27,27.06,27.00,27.13,27.00,1700
1999-01-28,27.06,27.28,27.28,27.06,3800
1999-01-29,27.38,27.47,27.56,27.19,6400
1999-02-01,27.59,27.53,27.61,27.45,6000
1999-02-02,27.31,27.19,27.31,26.94,20900
1999-02-03,27.13,27.63,27.63,27.09,22500
1999-02-04,27.80,27.47,27.83,27.44,18800
1999-02-05,27.19,26.78,27.36,26.78,5200
1999-02-08,27.02,27.22,27.22,26.69,6900
1999-02-09,26.88,26.38,26.91,26.38,8900
1999-02-10,26.34,26.38,26.53,26.22,7200
1999-02-11,26.59,27.23,27.25,26.59,8100
1999-02-12,26.88,26.75,26.91,26.58,5500
1999-02-16,26.97,27.06,27.25,26.97,9200
1999-02-17,27.16,27.00,27.53,27.00,14300
1999-02-18,27.00,27.03,27.03,26.77,3500
1999-02-19,27.06,27.17,27.17,26.98,900
1999-02-22,27.25,27.86,27.86,27.25,13700
1999-02-23,27.88,27.72,27.88,27.50,5100
1999-02-24,28.06,27.38,28.09,27.38,7500
1999-02-25,27.31,27.06,27.31,26.66,15700
1999-02-26,27.17,27.30,27.41,27.17,8000
1999-03-01,27.22,27.31,27.31,27.06,6300
1999-03-02,27.38,27.38,27.70,27.38,17300
1999-03-03,27.41,27.23,27.45,27.23,1000
1999-03-04,27.84,27.81,27.91,27.56,4000
1999-03-05,28.44,28.66,28.84,28.44,15900
1999-03-08,28.88,28.78,28.88,28.41,10600
1999-03-09,28.72,28.86,29.03,28.64,11000
1999-03-10,28.88,28.92,28.92,28.88,600
1999-03-11,29.00,29.09,29.27,28.98,9100
1999-03-12,29.41,29.22,29.56,29.00,10300
1999-03-15,29.19,29.28,29.30,29.00,5900
1999-03-16,29.09,29.13,29.20,29.06,5000
1999-03-17,29.09,29.00,29.09,28.72,5500
1999-03-18,28.81,29.50,29.50,28.81,4500
1999-03-19,29.47,29.19,29.47,29.19,8200
1999-03-22,29.00,28.75,29.00,28.63,17100
1999-03-23,28.31,27.88,28.41,27.81,8800
1999-03-24,28.00,27.66,28.00,27.59,12200
1999-03-25,28.09,28.50,28.50,27.94,10200
1999-03-26,28.44,28.31,28.56,28.19,6000
1999-03-29,28.80,29.00,29.00,28.73,4300
1999-03-30,28.88,29.03,29.09,28.78,36000
1999-03-31,29.19,29.03,29.19,28.75,6300
1999-04-01,28.75,28.56,28.75,28.39,4100
1999-04-05,28.97,28.94,29.03,28.91,8100
1999-04-06,29.16,29.09,29.22,28.94,8800
1999-04-07,29.33,29.09,29.41,29.09,11700
1999-04-08,29.44,30.00,30.00,29.44,20700
1999-04-09,29.94,30.00,30.30,29.94,32700
1999-04-12,29.81,30.53,30.66,29.81,20100
1999-04-13,30.63,30.38,30.66,30.22,32100
1999-04-14,30.38,29.69,30.44,29.69,31900
1999-04-15,29.88,29.63,29.94,29.28,25800
1999-04-16,29.63,29.72,29.75,29.44,9500
1999-04-19,30.19,29.06,30.56,28.97,29400
1999-04-20,29.19,29.44,29.56,29.19,15100
1999-04-21,29.63,29.72,29.94,29.47,33400
1999-04-22,30.09,30.02,30.31,29.88,34800
1999-04-23,30.41,30.34,30.41,30.25,1800
1999-04-26,30.47,30.16,30.50,29.22,91200
1999-04-27,30.34,30.23,30.38,30.13,2900
1999-04-28,30.41,30.13,30.50,30.13,3500
1999-04-29,29.88,29.44,30.00,29.44,14400
1999-04-30,29.72,29.34,29.78,28.47,31100
1999-05-03,29.41,30.06,30.09,29.41,8900
1999-05-04,30.41,29.72,30.44,29.53,185200
1999-05-05,29.78,29.47,29.78,29.06,46500
1999-05-06,29.19,28.81,29.31,28.81,10500
1999-05-07,29.31,29.47,29.47,29.13,18100
1999-05-10,29.56,29.44,29.91,29.25,15800
1999-05-11,29.72,30.03,30.13,29.72,19400
1999-05-12,30.06,30.13,30.13,29.69,7800
